field,fieldtype,from,fromString,to,toString,key,created,author
Fix Version,jira,,,11395,1.0.0.M1,SLICE-14,2010-02-14T22:42:28.592+0000,U2
Fix Version,jira,,,11416,Sprint 2,SLICE-14,2010-02-14T22:42:28.592+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-14,2010-02-14T22:42:28.592+0000,U2
Fix Version,jira,11395,1.0.0.M1,,,SLICE-14,2010-02-14T22:52:44.360+0000,
Fix Version,jira,11396,1.0.0.RELEASE,,,SLICE-14,2010-02-14T22:52:44.360+0000,
Fix Version,jira,11416,Sprint 2,,,SLICE-14,2010-02-14T22:52:44.360+0000,
Fix Version,jira,,,11419,Sprint 3,SLICE-14,2010-02-21T19:45:58.246+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-14,2010-02-21T19:45:58.246+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-14,2010-02-21T19:45:58.246+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-14,2010-02-23T00:30:29.839+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-14,2010-02-23T00:46:54.321+0000,U2
resolution,jira,,,8,Complete,SLICE-14,2010-02-23T00:46:54.321+0000,U2
Workflow,jira,30417,Scrum Workflow,107747,Generic Scrum Workflow,SLICE-14,2015-01-08T13:24:37.564+0000,
Story Points,custom,,,,3,SLICE-13,2010-02-14T22:36:38.136+0000,U2
Story Points,custom,,3,,2,SLICE-13,2010-02-14T22:38:15.916+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-13,2010-02-14T22:42:29.162+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-13,2010-02-14T22:42:29.162+0000,U2
Fix Version,jira,,,11416,Sprint 2,SLICE-13,2010-02-14T22:42:29.162+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-13,2010-02-19T00:23:41.796+0000,U2
Fix Version,jira,,,11419,Sprint 3,SLICE-13,2010-02-21T19:44:50.624+0000,U2
Fix Version,jira,11416,Sprint 2,,,SLICE-13,2010-02-21T19:44:50.624+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-13,2010-02-21T21:02:22.241+0000,U2
resolution,jira,,,8,Complete,SLICE-13,2010-02-21T21:02:22.241+0000,U2
Workflow,jira,30416,Scrum Workflow,107815,Generic Scrum Workflow,SLICE-13,2015-01-08T13:24:38.648+0000,
Story Points,custom,,3,,2,SLICE-12,2010-02-14T22:38:07.644+0000,U2
Fix Version,jira,,,11396,1.0.0.RELEASE,SLICE-12,2010-02-14T22:42:29.671+0000,U2
Fix Version,jira,,,11416,Sprint 2,SLICE-12,2010-02-14T22:42:29.671+0000,U2
Fix Version,jira,,,11395,1.0.0.M1,SLICE-12,2010-02-14T22:42:29.671+0000,U2
Fix Version,jira,11416,Sprint 2,,,SLICE-12,2010-02-21T19:44:50.776+0000,U2
Fix Version,jira,,,11419,Sprint 3,SLICE-12,2010-02-21T19:44:50.776+0000,U2
status,jira,10000,To Do,3,In Progress,SLICE-12,2010-02-21T21:02:34.257+0000,U2
status,jira,3,In Progress,10001,Done,SLICE-12,2010-02-21T21:45:11.882+0000,U2
