key,bugnr,created,
COMPASS-2841,1,2018-05-09T21:01:58.000+0000,
COMPASS-2839,1,2018-05-08T20:54:40.000+0000,
COMPASS-2833,1,2018-05-07T17:10:04.000+0000,
COMPASS-2827,1,2018-05-03T14:07:48.000+0000,
COMPASS-2826,1,2018-05-03T13:10:37.000+0000,
COMPASS-2822,1,2018-05-02T20:32:18.000+0000,
COMPASS-2821,1,2018-05-02T16:47:03.000+0000,
COMPASS-2807,1,2018-05-02T13:46:21.000+0000,
COMPASS-2802,1,2018-05-02T12:22:09.000+0000,
COMPASS-2801,1,2018-05-02T12:20:52.000+0000,
COMPASS-2799,1,2018-05-01T16:50:55.000+0000,
COMPASS-2798,1,2018-05-01T14:08:11.000+0000,
COMPASS-2796,1,2018-04-30T19:20:39.000+0000,
COMPASS-2773,1,2018-04-24T08:29:20.000+0000,
COMPASS-2771,1,2018-04-23T19:38:51.000+0000,
COMPASS-2765,1,2018-04-18T19:55:15.000+0000,
COMPASS-2764,1,2018-04-18T19:33:35.000+0000,
COMPASS-2757,1,2018-04-17T23:49:05.000+0000,
COMPASS-2748,1,2018-04-15T19:29:58.000+0000,
COMPASS-2747,1,2018-04-13T18:57:52.000+0000,
COMPASS-2745,1,2018-04-13T14:26:47.000+0000,
COMPASS-2744,1,2018-04-13T11:48:51.000+0000,
COMPASS-2741,1,2018-04-12T21:23:36.000+0000,
COMPASS-2736,1,2018-04-10T13:17:07.000+0000,
COMPASS-2735,1,2018-03-22T16:01:12.000+0000,
COMPASS-2733,1,2018-04-07T17:26:44.000+0000,
COMPASS-2732,1,2018-04-09T15:44:47.000+0000,
COMPASS-2730,1,2018-04-07T14:08:48.000+0000,
COMPASS-2725,1,2018-04-05T15:50:06.000+0000,
COMPASS-2720,1,2018-04-03T21:33:02.000+0000,
COMPASS-2715,1,2018-04-03T13:47:21.000+0000,
COMPASS-2712,1,2018-04-01T11:10:51.000+0000,
COMPASS-2711,1,2018-03-31T02:28:47.000+0000,
COMPASS-2677,1,2018-03-22T20:31:27.000+0000,
COMPASS-2674,1,2018-03-21T17:57:23.000+0000,
COMPASS-2635,1,2018-03-13T13:58:36.000+0000,
COMPASS-2634,1,2018-03-12T21:00:53.000+0000,
COMPASS-2632,1,2018-03-09T16:42:01.000+0000,
COMPASS-2546,1,2018-02-15T20:04:41.000+0000,
COMPASS-2544,1,2018-02-14T11:36:18.000+0000,
COMPASS-2501,1,2018-02-02T13:49:09.000+0000,
COMPASS-2382,1,2017-11-30T15:33:16.000+0000,
COMPASS-2360,1,2017-11-26T23:48:22.000+0000,
COMPASS-2230,1,2017-10-27T20:45:51.000+0000,
COMPASS-2190,1,2017-10-11T16:59:57.000+0000,
COMPASS-2185,1,2017-10-10T01:39:30.000+0000,
