"Replace HTML Tidy Validator with a build participant using our AST parser We currently use Tidy as a separate vendor plugin that provides the JAR and pipe the HTMl source to it, then read the output and generate warnings errors. This approach has been notably slow and memory intensive. Given that we are already parsing the file and generating an AST, it should be much faster and leaner to provide a build participant that traverses the AST to provide all or most of the same functionality. Also, we d have control over the impl so we can update as necessary for changes to HTML like HTML 5 elements, which tidy complains about .",APSTUD-4346,
Support usage of CommonJS Modules require method in JavaScript code completion Given the following exports.sayHello function name Ti.API.info Hello name ! ; ; exports.version 1.4; var myModule CA prompts sayHello and ContextInfo for name parameter We present content assist against the functions and properties defined in the module file This would require changing the index to show what individual files require and filtering that in content assist.,APSTUD-4357,
Improve text hover for JavaScript From 64;name 64;type ... description Supported Platforms ... Remarks remarks Example example Specification ... 64;type ... description Supported Platforms Remarks remarks Example example Specification ,APSTUD-4361,
"Have IdeLog log using the product version, not the version of the plugin In general, when logging a file, we most care about the product version i.e. 3.0.8 as opposed to the version of the plugin i.e. build 3.0.0.1326742432 which may not change as frequently as the product version. Update IdeLog to use the RCP Plugin product version instead.",APSTUD-4368,
"Add name of errant file to error message for When writing out the following to the log file, we should at least write out the name of the documentation file, and if possible something about where in the file the error occurs line , character count, anything Build 3.0.3.qualifier An error occurred while parsing the documentation XML file. The value of attribute name associated with an element type null must not contain the character. An error occurred while parsing the documentation XML file. The value of attribute name associated with an element type null must not contain the character. at at at at at at at at at at at at at at at at at at at at ",APSTUD-4378,
"Lazily load additional info for Javascript content assist We pre populate the additional info popup strings for every Javascript CA proposal. If we implement we can return the additional proposal info for on demand, which saves us generating all of the strings in advance and instead populating it when the particular proposal is selected.",APSTUD-4408,
Analyze duplicate Strings and Fill Ratios of Studio using Memory analyzer I have a feeling there s plenty of low hanging fruit in terms of our memory usage. I read this article and it seems to be pretty easy to get a quick grasp of where we re wasting RAM ,APSTUD-4448,
"Remove the MozillaJS validator The MozillaJS validator simply runs the source through the Rhino parser. It appears to be giving us no extra benefit that we don t already get or can t get from our own parser. If that is the case, we can remove some deadweight code and possible performance issue.",APSTUD-4450,
Code review the PHP Debugger Code review the PHP debugger implementation. See sub tasks ,APSTUD-4460,
"Use StringPools to avoid duplicated strings notable Bundle infrastructure and PHP builtins We duplicate path , scope and customProperties key values in bundle model elements. Using a StringPool to reuse equal strings would help bring down our memory usage quite a bit there. Long term we may want to handle freeing the strings from the pool in a smarter way when the referring elements themselves are removed say a bundle gets removed but the effort required given that unusual unlikely use case may not warrant it. Secondly, we should use StringPool for a lot of the duplicated string values in PHP builtins. We re already hanging onto the entire thing in memory, so having them live in a StringPool that lives as long as the plugin won t actually make it any worse. We d have to remove the pool if we ever refactored to persist the index to disk like we do in core. ",APSTUD-4469,
Improve Studio startup time Our goal here is an initial load time of under 5 seconds from first double click to being able to type in an open editor . More investigation needs to be done as to the bottlenecks and what we can do to improve this performance.,APSTUD-4582,
Investigate difference in speed of editor opening between Studio 1.5 and 3.0 ,APSTUD-4626,
"Add command line option to load the rubles sequentially We should add a command line option to allow for sequential loading of bundles. It would make testing much easier. It could either be to load all bundles sequentially, or it could enforce a maximum number of bundles that can be loaded at a time which I would set to 1 , something like or Note, I also believe does not properly respect the wait parameter. Unless you are unit testing, it does nothing. ",APSTUD-4648,
"Investigate replacement for JSLint This ticket involves the investigation of the complexity in replacing JSLint with our own validation framework What rules do we need to encapsulate For ease in migration for existing users, it us suggested we accept the current comment based options that JSLint allows.",APSTUD-4690,
Create stand alone project so JSParser can be run from the command line outside of Eclipse Our current implementation of our JS parsing infrastructure does not allow the parser to be run outside of Eclipse. We need to extract the minimal set of classes that will de couple our implementation from Eclipse and allow the parser to be run from the command line. This code and any scaffolding should live in a separate repository.,APSTUD-4722,
Publish Studio Javadocs as part of nightly builds We are now generating Javadocs for the Studio and Titanium core plugins as part of our continuous release builds. We should publish the latest versions out for nightlies. The docs live in the folders of the and builds.,APSTUD-4786,
Document Jflex scanner architecture Discuss the general structure of the jflex files we have. I think someone familiar with regular expressions could pick up jflex really quickly and this could be a good head start for them Briefly describe the process of generating a scanner from a jflex file. This is how you run it from the command line or within Eclipse to generate the associated Java file. Discuss how jflex scanners are modified to work with Beaver,APSTUD-4787,
Document Beaver parser architecture Discuss the general structure of the Beaver files we have. Briefly describe the process of generating a parser from a Beaver grammar. This is how you run it from the command line or within Eclipse to generate the associated files. ,APSTUD-4788,
"Document additional facets of the scripting architecture We may have documentation on this already, but the most complicated area in the current implementation revolves around visibility events. These events are driven by changes in visibility of commands and such based on bundle precedence rules. We may want to consider removing all notions of augmentation, which would simplify this area a bit Discuss how inputs and outputs should be pulled out into extensions to Improve code Allow other input output types to be contributed Discuss a possible way to fix bundle loading issues we ve seen on Windows. We need to be able to lock the loading of a bundle until its bundle.rb has been processed. This sounds easy, but I think it will have a big impact on the code, unfortunately",APSTUD-4789,
"Document the JSCA processing architecture We had tried to come up with a system for JSCA that was comparable to how our XML metadata works SAX like parsing and event driven handlers. However, the result is much too complicated and harder to maintain than it should be. It s worth documenting how the handler works at a minimum. Additionally, it might be good to discuss an alternate approach, that, although tied directly to the JSCA structure, is easier to maintain and update.",APSTUD-4790,
"Document the JavaScript inferencing architecture Discuss the classes involved and their roles Discuss the hacks put in place to get around issues exposed by jquery style functions Discuss possibilities for reducing indexing time particularly not doing any reads during writes Discuss why the Function wrapper is bad and how it might be removed. This relates to the hacks mentioned above Discuss the differences in handling of sdocml files during metadata loading versus during indexing. Ideally, these should be treated in the same way.",APSTUD-4791,
"Document the content assist architecture Briefly discuss the notion of location type and how that is calculated in HTML, CSS, and JS Briefly discuss the notion of replacement range and how that is calculated in HTML, CSS, and JS Briefly discuss how JS and CSS CA are hacked into HTML",APSTUD-4792,
Document how we do JavaScript parsing Discuss the recovery strategy interface used by JSParser. Note that these types of recoveries have been exposed in such a way as to make them available to all languages that use Beaver Show examples of how discovery strategies are defined Discuss rules based on the last good token Discuss rules based on the current failed token Suggest how the parser can stand alone and be integrated into the IDE. The current stand alone version of JSParser was a quick and dirty extraction from Eclipse purely to allow Bryan to start working with it to see if it will work for his needs.,APSTUD-4793,
"Document current and proposed approaches in the JavaScript Outline View We have talked about having different outlines for JS. It may be that the current outline and the JS node in the Index View will cover this topic already, but it s probably worth capturing thoughts here to see how those fit with what we have already.",APSTUD-4794,
